WKT,LATITUDE,LONGITUDE,UFI,PFI,FEATURE_ID,PARENTFTID,FTYPE,FEATSUBTYP,FEATSTATUS,NAME,NAME_LABEL,PARENTNAME,CHILDEXIST,AUTHORGC,AUTHORGID,AUTHORGVER,VMADD_PFI,VICNAMESID,VICNMSTATC,THEME1,THEME2,STATE,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
POINT (144.924078464 -37.764712306),-37.76471231,144.9240785,58590767,140859,140859,0,emergency facility,police station,,MOONEE PONDS POLICE STATION,Moonee Ponds Police Station,,,107,NMO,2020/9/27,53466593,17513,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.932149807 -37.785119107),-37.78511911,144.9321498,58590619,137773,137773,0,emergency facility,police station,,FLEMINGTON POLICE STATION,Flemington Police Station,,,107,NFM,2020/9/27,51466662,9204,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.901372799 -37.803867013),-37.80386701,144.9013728,58590737,137790,137790,0,emergency facility,police station,,FOOTSCRAY POLICE STATION,Footscray Police Station,,,107,NFC,2020/9/27,219702148,9293,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.96306858 -37.762812743),-37.76281274,144.9630686,58590768,135916,135916,0,emergency facility,police station,,BRUNSWICK POLICE STATION,Brunswick Police Station,,,107,NBW,2020/9/27,50223825,3666,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.967260494 -37.812846517),-37.81284652,144.9672605,58590580,140505,140505,0,emergency facility,police station,,MELBOURNE EAST POLICE STATION,Melbourne East Police Station,,,107,NME,2020/9/27,209510609,-1384124,11,,,VIC,2009/5/21,0,2020/10/1
POINT (144.954565633 -37.800307966),-37.80030797,144.9545656,58590674,765077,765077,0,emergency facility,police station,,MELBOURNE NORTH POLICE STATION,Melbourne North Police Station,,,107,NMN,2020/9/27,207501232,-1384102,11,,,VIC,2010/9/16,0,2020/10/1
POINT (144.951254155 -37.813807446),-37.81380745,144.9512542,58599303,140522,140522,0,emergency facility,police station,,MELBOURNE WEST POLICE STATION,Melbourne West Police Station,,,107,NMW,2020/9/27,422027062,-1384113,11,,,VIC,2009/5/21,0,2020/10/1
POINT (144.979131553 -37.802221875),-37.80222188,144.9791316,58590476,137766,137766,0,emergency facility,police station,,FITZROY POLICE STATION,Fitzroy Police Station,,,107,NFZ,2020/9/27,219088806,9127,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.993567885 -37.804043284),-37.80404328,144.9935679,58590736,136672,136672,0,emergency facility,police station,,COLLINGWOOD POLICE STATION,Collingwood Police Station,,,107,NCW,2020/9/27,219089160,5975,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.002146742 -37.766123452),-37.76612345,145.0021467,58590755,141488,141488,71753,emergency facility,police station,,NORTHCOTE POLICE STATION,Northcote Police Station,NORTHCOTE SHOPPING PLAZA,,107,NNC,2020/9/27,218964621,20072,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.960938808 -37.828319),-37.828319,144.9609388,58590699,1138305,1138305,0,emergency facility,police station,,SOUTHBANK POLICE STATION,Southbank Police Station,,,107,NSO,2020/9/27,219059702,-1675236,11,,,VIC,2016/6/16,0,2020/10/1
POINT (144.99067766 -37.867887334),-37.86788733,144.9906777,58590553,143510,143510,0,emergency facility,police station,,ST KILDA POLICE STATION,St Kilda Police Station,,,107,SSK,2020/9/27,53151982,103689,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.959569115 -37.834847041),-37.83484704,144.9595691,58590468,143145,143145,0,emergency facility,police station,,SOUTH MELBOURNE POLICE STATION,South Melbourne Police Station,,,107,SSM,2020/9/27,53658716,24759,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.023271263 -37.881293579),-37.88129358,145.0232713,58590509,136336,136336,0,emergency facility,police station,,CAULFIELD POLICE STATION,Caulfield Police Station,,,107,SCF,2020/9/27,53666217,5037,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.00008732 -37.847837263),-37.84783726,145.0000873,58590733,142083,142083,0,emergency facility,police station,,PRAHRAN POLICE STATION,Prahran Police Station,,,107,SPH,2020/9/27,53656244,21779,10,,,VIC,2009/5/21,0,2020/10/1
POINT (144.999578365 -37.81744931),-37.81744931,144.9995784,58590734,142321,142321,0,emergency facility,police station,,RICHMOND POLICE STATION,Richmond Police Station,,,107,NRM,2020/9/27,54025919,22579,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.029611405 -37.855883208),-37.85588321,145.0296114,58590557,140265,140265,0,emergency facility,police station,,MALVERN POLICE STATION,Malvern Police Station,,,107,SMV,2020/9/27,53474039,16055,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.079709691 -37.862874272),-37.86287427,145.0797097,58590510,134933,134933,0,emergency facility,police station,,ASHBURTON POLICE STATION,Ashburton Police Station,,,107,EAT,2020/9/27,208619530,652,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.059226232 -37.833215372),-37.83321537,145.0592262,58590550,136105,136105,0,emergency facility,police station,,CAMBERWELL POLICE STATION,Camberwell Police Station,,,107,ECL,2020/9/27,52128332,4460,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.052029462 -37.799710901),-37.7997109,145.0520295,58590738,135739,135739,0,emergency facility,police station,,BOROONDARA POLICE STATION,Boroondara Police Station,,,107,EBB,2020/9/27,54713765,-1384144,11,,,VIC,2009/5/21,0,2020/10/1
POINT (144.906535656 -37.863549202),-37.8635492,144.9065357,58599326,995659,995659,0,emergency facility,police station,,WATER POLICE/SEARCH AND RESCUE POLICE STATION,Water Police/Search And Rescue Police Station,,,107,,2020/9/27,219009984,-1384135,11,,,VIC,2013/10/4,0,2020/10/1
POINT (144.906199729 -37.863382177),-37.86338218,144.9061997,58590546,612478,612478,0,emergency facility,police station,,WILLIAMSTOWN POLICE STATION,Williamstown Police Station,,,107,NWN,2020/9/27,219009984,29560,10,,,VIC,2009/5/21,0,2020/10/1
POINT (145.087747223 -37.898288207),-37.89828821,145.0877472,58590543,141572,141572,0,emergency facility,police station,,OAKLEIGH POLICE STATION,Oakleigh Police Station,,,107,EOL,2020/9/27,52174251,20330,10,,,VIC,2009/5/21,0,2020/10/1
